100,1,3,3,14,0,1,13,80,81,0,0,0,1
125,1,3,3,15,3,4,6,11,18,3,0,0,1
150,1,3,3,16,12,17,20,22,8,8,0,0,1
0,0,3,3,4,4,4,4,4,4,4,1,0,1
0,0,3,3,5,4,4,4,4,4,4,1,0,1
0,0,6,6,6,6,6,6,6,6,6,1,0,1
0,0,4,4,6,6,6,7,6,6,6,1,0,1
0,0,6,6,8,8,8,8,8,8,8,1,0,1
0,0,4,4,11,11,11,9,9,9,9,6,0,1
0,0,1,1,10,10,10,10,10,10,10,4,0,1
0,0,3,3,20,20,28,20,20,20,20,1,0,1
0,0,4,4,20,28,20,28,20,20,20,1,0,1
0,1,4,0,1,1,1,1,1,1,1,1,1,1
125,1,3,3,4,4,6,6,20,20,20,1,0,1
0,1,3,1,0,0,0,0,0,0,0,6,1,1
0,1,6,0,11,11,12,12,13,13,11,6,1,1
0,1,3,1,3,3,3,3,3,3,3,1,1,1
0,1,2,1,17,17,10,10,6,6,6,1,1,1
0,0,1,1,29,29,29,29,29,29,29,1,0,1
0,0,1,1,85,85,85,85,85,85,85,6,0,1
0,0,6,6,39,39,39,39,39,39,39,1,0,1
0,0,6,6,39,39,39,39,82,39,39,1,0,1
0,0,1,1,83,83,83,83,83,83,83,6,0,1	
0,0,1,1,84,84,84,84,84,84,84,6,0,1
0,0,3,3,60,47,60,47,47,47,47,5,0,1
0,0,5,5,47,47,60,47,47,47,47,5,0,1
0,0,6,6,7,7,7,7,7,7,7,0,0,1
0,1,4,2,27,27,27,27,27,7,10,0,0,1
0,1,4,2,32,32,34,32,34,32,34,6,1,1
0,1,4,2,35,35,35,35,35,44,44,1,1,1
0,1,4,2,46,46,46,47,47,47,47,6,1,1
0,1,4,2,45,45,45,49,49,49,45,1,1,1
0,1,4,2,54,54,54,54,54,54,54,6,1,1
0,1,4,2,59,59,59,57,57,57,57,6,1,1
0,1,4,2,55,55,55,56,56,56,56,6,1,1
0,1,1,3,60,60,60,60,61,61,61,5,1,1
0,1,4,2,65,65,65,66,66,66,66,1,1,1
0,1,4,2,70,70,73,73,74,74,74,4,1,1
0,1,3,1,75,75,76,76,79,79,75,4,1,1
